#,Choose a language!,Interlay 的使命是：,interBTC 是：,Kintsugi（kBTC）是：,INTR 和 KINT 是：,谁能在 Interlay 中运行金库？,interBTC 为用户提供哪些保证？,在哪里可以使用 interBTC？,Interlay's Mission is?,interBTC is?,Kintsugi is?,INTR and KINT are?,Who can run a Vault in Interlay?,What guarantees does interBTC offer to users?,Where will you be able to use interBTC?,You've finished the quiz and scored full marks!,完成测试，满分！,Start Date (UTC),Submit Date (UTC),Network ID,Tags
au2rjlyx968dghhsqp5veiucau2rjlyc,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13pSggeByrSUKPBh87ngsuqobMYPQ1dVD6hJxxC46KVgoHtf,,2022-05-02 22:47:26,2022-05-02 22:51:05,d39ec709a2,
hmyn59v9li8193xhm89y1buu32q8j26q,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12wzNoXZb8TcysFu9To2tmnKemFy3Jc7ti4GpTjht5onUgVv,,2022-04-30 20:11:05,2022-04-30 20:13:07,6052bb6565,
my04m6wwxo1vi6p1wmy04mqmik3c2pho,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,16Lr5jdAR77uNQ1djdzs8AKa7PVEFZhZmP23MZpP35p4JsF4,2022-04-27 18:33:23,2022-04-27 18:35:48,316bb15e0d,
j505wqhyuftgos9ij501ihvpb1a6x0sv,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14VZr2gxK1pYNyUzeBtu48jxGZS86sufNaqeRMzjWF1393o,,2022-04-25 16:30:17,2022-04-25 16:34:18,2884307c16,
2y3bxqdv2857j9x3a52y3tj02zozgcwx,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15LkDokuDCEDzPSvaGg5hj76eEMmdrtHLfBakdELeQLUhZ4d,,2022-04-20 16:37:13,2022-04-20 16:41:49,b356596154,
vv961dc5as985gireytvv9624747tc8a,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",a3aYS8x7L6iSvHc3V3bg2TwEsaqa9mc9c8f9oJ3bxUd97CjQK,,2022-03-28 19:22:45,2022-03-28 19:26:48,94ac7b68c2,
x9qnszr2ughnvf9rx6bssx9qnsfd35s4,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",145smvWQJ7v5MBcJJNWyKXugLmFzd5P92RC19gxkvcjkD9kp,,2022-03-24 23:36:19,2022-03-24 23:38:38,9b88ff301b,
hojd2mxkx7scsng26hlhojd2mvalbc2g,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12TPUimtTz98Z5zzmj9gKBkQjpo1JyWWw2kwTajeXTnZkWBj,,2022-03-20 16:18:10,2022-03-20 16:21:51,b8ec793b49,
yl797pwdsq4kk3k1yetm91yl797pljvy,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-03-12 13:48:13,2022-03-12 13:50:27,8a7872bf2e,
co55unmlx0ih8svwpco556fpq2nh8bn2,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,,2022-03-12 01:25:39,2022-03-12 01:27:25,11daffabb9,
5pkj4xtv4iysziytwd5pkj4xeap2hz2e,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13ab4u47KAmtjyb87HsynsKV6BsNjpagGx1LPQg9dtux4hpf,,2022-03-12 00:32:47,2022-03-12 00:35:15,9c62d86266,
jev4qg7hf92ztd5jev4q37is7no0wnvu,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,16UVLGBUyYTMsb4L5yhQiEZBCwJSUcUvbUzrFYMFPVNzFJow,2022-02-27 00:37:00,2022-02-27 00:40:02,3c74267bbd,
2p5qclciujfaix19z0v2p5qcbnvb0oyy,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14zqFsF4vUV1FrqST4k2t8WanuhE1CM2E6Bi5Zktt5zezTfN,,2022-02-26 20:40:26,2022-02-26 20:44:18,56cd5f8e68,
rn8ol49bi3453g18orkorn8ol490shej,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,14irbbQEDhL9RWQGR1JupakTZn3fRnquydbsjrapTSKyMmgA,2022-02-25 08:25:06,2022-02-25 08:27:45,33dc91968f,
zkdfk8e6t6puqlljzkdf9ihfojqnwf1s,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12mzQppzNAdBYkuYmUn66VHVUHj7f5cUFTnnJiJZr8Qr9a6V,,2022-02-24 15:12:31,2022-02-24 15:16:29,2c164a7392,
4x3du3m4fhf756l14x3duvo8mbjvf839,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16haMGoz6sra84muoRh4UuN7iCVJe7EYCatxhNWnNHncUb7y,,2022-02-24 12:51:08,2022-02-24 12:52:16,d05e896513,
gb0kwiehqho5qzhmrbvrhacgb0kwi9oa,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16VVbsu3gdRrNdfXJ83ifRvSptpixu5Biefp1QZhhdXLR13Q,,2022-02-24 12:49:29,2022-02-24 12:50:31,d05e896513,
ukfto7qapvfpyhvjj07ukftoje2dit19,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14d6HinyazvL13yQBxbfYpr5KupGnFtfcoe9D8CTxCsQTsKb,,2022-02-24 12:45:01,2022-02-24 12:47:12,d05e896513,
iv2dtffkuwcd2t5m3iv2d7kkdw5rhyuq,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,15UibaReykNkLniCkLVjhUbjzRfwJsKeVJ4xmSio6H1YK6sE,2022-02-24 11:29:05,2022-02-24 11:33:51,5af19ed344,
b51jwm6xmhzldfl5ei1b51jwm66p3qk0,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16Q5pT1HY3784XFrM4BeMCFv7jwobwDkKZmZJUyyTjph2ZVW,,2022-02-24 07:49:49,2022-02-24 07:55:41,f5f2a9ae09,
lh89u9oe2aaabeay32ir2q4ic2aaabeb,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",14e2orP2iDXBRdSCdEF64S6J5p4343Acnmyze3hG9QMZ8g6E,,2022-02-24 03:57:46,2022-02-24 04:01:32,6b03b70a54,
5g6c7jwtcgrr1gt17uwq4x5g6c7jxlx8,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",167wxQELHhQ1tjKQchZtMMCXb65JC69BUd4NJJVfBNoJsUkE,,2022-02-24 02:34:26,2022-02-24 02:36:45,7280424d82,
rt39glnof1h4rkart39s1yi1uv04rfel,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",157xFC1s9awm1LcLCLcJ15qnJUNgnrkejy7vr4mqUn2NVcTK,,2022-02-23 23:00:51,2022-02-23 23:01:45,93a039141e,
1j58gsrgsbnfm8qfyq01j58gwets909n,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13WEMirhq6jmyFYcxM86DiRUXTsvK6kGdu41R1zfwfrQscUC,,2022-02-23 22:28:28,2022-02-23 22:32:54,1265d74205,
5acjarcb4bpuoqg7y5acja5vrhw87dc1,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1PHHfSuddR6NnYYeDZe9Rgpj82gbkV7X3wGUhj9sSWYQzxj,,2022-02-23 18:59:21,2022-02-23 19:02:44,fc7ee9e346,
hogn6bwyt61nogd1pi4felhogn6ye4o0,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",153MvAv187YPfHjTBrEm3tEMtnLhEzWKYVb3pZNRhtSfD4rv,,2022-02-23 14:05:42,2022-02-23 14:08:25,1d7ec6e877,
du1xqrnsn3eldx3jv2tubdu1xqrnemss,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13VVYBeZfzMJuSL3wwgktP5QN1gpaVXrxshsFMYPDJeS8Wci,,2022-02-23 12:24:53,2022-02-23 12:25:30,efaf0ad90f,
u66bzuja30xm6txau66bznd9lyrqs6wq,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1CHUqNFoYtSWhfUKfLzAWE72zVGFjAGbUjJ6d2LH7GASUKB,,2022-02-23 12:22:34,2022-02-23 12:24:20,42f012cd0e,
dmfjxnhflbtsubhgdmfjxb7vsc3mh2ld,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13VVYBeZfzMJuSL3wwgktP5QN1gpaVXrxshsFMYPDJeS8Wci,,2022-02-23 12:22:20,2022-02-23 12:23:57,efaf0ad90f,
jh6o2vtrqbiax2uhdjxjh6oq9pqtuxus,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12pEiqVxybevHxPKNsUqhVRrASzfYR8ZhVvhJqBBpHNyybNT,,2022-02-23 10:03:43,2022-02-23 10:04:27,7001c28549,
7t7javy00t4lter849887t7jave01fx6,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1ZBi1NPkwE64Fo61ChXJKUTiA97FS9CwocWPzdRqQ3bQv4v,,2022-02-23 09:55:06,2022-02-23 09:56:28,7001c28549,
rpucws4bols8mrpu07fybctddqypuql7,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",16BBezNyTd86i9fBeVjoZXrFQMyhHbJ9VRPphJiwUPRbJyVx,,2022-02-23 08:38:47,2022-02-23 08:40:21,e9c3d27b84,
3ykwl313xesfis3ykwwrsitqq8upi9rw,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",153SNu8a5H2vvWeMqTJ4bJPRxY9iQ8Ywy1fCPmyXYhqwiFnr,,2022-02-23 06:11:58,2022-02-23 06:16:06,9d5e744461,
xeasuqklp0vtxeasu4ly93z98jgm87jz,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",138gmMFPUWeAhXYsmU3NnTr3vNpYi3Q5eNHhqDTagqybNb2u,,2022-02-23 05:44:21,2022-02-23 05:47:39,c69cdecf85,
mehma0a3cado7bmehmezglqtqapcs1op,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1412DhuJ4qtDCSyP2qxBFkenxeihQUax5YvyrVd5hhAcqxP,,2022-02-23 04:55:30,2022-02-23 05:00:07,c27c45338b,
